uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"44badd21-b6b5-4719-9626-6bcc55761af1","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_ABSS","Abss","2014-04-07","2014-04-07",27.0,55.0,"2014PR079001",
"1a3b0edf-431e-4a8d-b401-9fab43566d95","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BKSSYZ","Bkssyz","2014-04-07","2014-04-07",83.0,107.0,"2014PR079001",
"7e78c764-e71e-42dc-b0c4-2124616ff8a4","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_BSSYZ","Bssyz","2014-04-07","2014-04-07",55.0,83.0,"2014PR079001",
"a47e8cae-b001-4e44-9762-16d079ea636d","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_3C","3C","2014-04-07","2014-04-07",164.0,176.0,"2014PR079001",
"be9fbf3b-dfa6-4f59-9a4e-331e43598e01","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2BKY","2Bky","2014-04-07","2014-04-07",107.0,145.0,"2014PR079001",
"479fdf15-76c4-491b-bdc6-9a793348b946","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_4C","4C","2014-04-07","2014-04-07",176.0,203.0,"2014PR079001",
"37fe19eb-fa16-40a0-b07f-792fa43b6a04","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_AP","Ap","2014-04-07","2014-04-07",0.0,27.0,"2014PR079001",
"a16f6585-f2b6-40b3-8734-8e25459d67a8","D04","LAJA","MEGAPT100979","4_LAJAS_PIT1","4_LAJAS_PIT1_2C","2C","2014-04-07","2014-04-07",145.0,164.0,"2014PR079001",
