uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"ba50a5e6-ea95-4cdf-a0e6-5bafa541511e","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_A1","A1","2016-08-15","2016-08-15",4.0,18.0,"S2016CA019003",
"aad3e971-74a3-4031-94d1-2552d527cf10","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_A2","A2","2016-08-15","2016-08-15",18.0,32.0,"S2016CA019003",
"ccc4c6c2-f150-43d9-9927-ea89279131d5","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_2BT","2Bt3","2016-08-15","2016-08-15",136.0,213.0,"S2016CA019003",
"c9c1b9a4-277a-4d2e-9308-b712945b8497","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_2C","2C","2016-08-15","2016-08-15",213.0,255.0,"S2016CA019003",
"a8e9221b-d7fc-4967-87bf-a2f007443022","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_BT3","Bt2","2016-08-15","2016-08-15",91.0,136.0,"S2016CA019003",
"aaa8f690-6a88-4ed9-8478-7133dfc9ed78","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_BT1","AB","2016-08-15","2016-08-15",32.0,52.0,"S2016CA019003",
"ea1e6c60-c021-4f96-ac39-e382fe785a1d","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_BT2","Bt1","2016-08-15","2016-08-15",52.0,91.0,"S2016CA019003",
"e91e6e5e-5624-4b9b-a31a-606ada1eafdc","D17","SOAP","MEGAPT111415","D17_SOAP_PIT1","17_SOAP_PIT1_OI/OE","Oi","2016-08-15","2016-08-15",0.0,4.0,"S2016CA019003",
