uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"bd70f87a-c3f5-4b19-b51f-c736298edf40","D19","HEAL","MEGAPT100974","D19_HEAL_PIT1","D19_HEAL_PIT1_OE","Oe","2015-11-04","2015-11-04",,,,,,
"d4a1484d-1bfe-496e-ad59-b4451b60a7cc","D19","HEAL","MEGAPT100974","D19_HEAL_PIT1","D19_HEAL_PIT1_CJJF","Cjjf","2015-11-04","2015-11-04","D19_HEAL_PIT1_ARCHIVE_50-84_CFJJ","NEON",50.0,84.0,,3600.6
"4765c136-b447-4391-8a9a-15d0bfab47c8","D19","HEAL","MEGAPT100974","D19_HEAL_PIT1","D19_HEAL_PIT1_OA","Oa","2015-11-04","2015-11-04","D19_HEAL_PIT1_ARCHIVE_22-31_OA","NEON",22.0,31.0,,3600.9
"8acda1cf-2e57-4698-8b95-447b113579c8","D19","HEAL","MEGAPT100974","D19_HEAL_PIT1","D19_HEAL_PIT1_A/CJJ","A/Cjj","2015-11-04","2015-11-04","D19_HEAL_PIT1_ARCHIVE_31-50_A/CJJ","NEON",31.0,50.0,,3600.4
"7d257d22-b9eb-48dd-8932-655ef728d804","D19","HEAL","MEGAPT100974","D19_HEAL_PIT1","D19_HEAL_PIT1_OI","Oi","2015-11-04","2015-11-04",,,,,,
