uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"e08b06f3-005d-480a-ac70-6e89ab920f9d","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1","9_WOODWORTH_PIT1_2BW","2Bw","2012-09-18","2012-09-18",16.0,32.0,"12ND093001",
"a87db536-c3b6-41e6-9b4c-dc104565c216","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1","9_WOODWORTH_PIT1_2C","2C","2012-09-18","2012-09-18",133.0,190.0,"12ND093001",
"9266364c-8c6c-4482-8eb8-3248efebde65","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1","9_WOODWORTH_PIT1_2BK2","2Bk2","2012-09-18","2012-09-18",58.0,92.0,"12ND093001",
"4975df4e-c55d-4ca7-aa29-05ce16b3dbd4","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1","9_WOODWORTH_PIT1_2BCK","2BCk","2012-09-18","2012-09-18",92.0,133.0,"12ND093001",
"56e37c5e-50c0-443e-b084-75952ffa26cc","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1","9_WOODWORTH_PIT1_2BK1","2Bk1","2012-09-18","2012-09-18",32.0,58.0,"12ND093001",
"55a9789d-d2c5-46e5-bfbf-9dea3101b4a7","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1","9_WOODWORTH_PIT1_AO","AO","2012-09-18","2012-09-18",0.0,6.0,"12ND093001",
"8b74d626-d37d-4971-a776-27250dae3b1b","D09","WOOD","MEGAPT101002","9_WOODWORTH_PIT1","9_WOODWORTH_PIT1_AP","Ap","2012-09-18","2012-09-18",6.0,16.0,"12ND093001",
