uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"d21f4c6f-ff8a-4432-879f-9a38f877e3c5","D17","SJER","MEGAPT100994","D17_SJER_PIT1","D17_SJER_PIT1_A2","A2","2016-11-15","2016-11-15",8.0,34.0,"S2016CA019003",
"8718b6e4-1a20-4fdc-9e79-cca3c28f411b","D17","SJER","MEGAPT100994","D17_SJER_PIT1","D17_SJER_PIT1_CR","Cr","2016-11-15","2016-11-15",129.0,170.0,"S2016CA019003",
"7d4371c6-1f8d-4b82-8538-c99835540d3d","D17","SJER","MEGAPT100994","D17_SJER_PIT1","D17_SJER_PIT1_BW","Bw","2016-11-15","2016-11-15",57.0,81.0,"S2016CA019003",
"3946423e-1f23-4e28-948f-13f40b88ebf2","D17","SJER","MEGAPT100994","D17_SJER_PIT1","D17_SJER_PIT1_R","R","2016-11-15","2016-11-15",170.0,185.0,"S2016CA019003",
"41ed0e04-0326-4675-acc7-cc7199f263fb","D17","SJER","MEGAPT100994","D17_SJER_PIT1","D17_SJER_PIT1_C","C","2016-11-15","2016-11-15",81.0,129.0,"S2016CA019003",
"48426686-a052-4ee1-89fe-4b02af219599","D17","SJER","MEGAPT100994","D17_SJER_PIT1","D17_SJER_PIT1_A1","A1","2016-11-15","2016-11-15",0.0,8.0,"S2016CA019003",
"3499aa96-fa61-43b0-a047-62acc40742bd","D17","SJER","MEGAPT100994","D17_SJER_PIT1","D17_SJER_PIT1_BA","BA","2016-11-15","2016-11-15",34.0,57.0,"S2016CA019003",
