uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"9d868268-231d-42a7-b1d9-3554d806f2d9","D14","SRER","MEGAPT100995","D14_SRER_PIT1","D14_SRER_PIT1_BK2","Bk2","2013-11-04","2013-11-04",79.0,132.0,"S2014AZ019001","very rocky horizon; variably deposited across landscape"
"3ddf12b2-88e3-4627-8ef9-532b8a62613c","D14","SRER","MEGAPT100995","D14_SRER_PIT1","D14_SRER_PIT1_BW","Bw","2013-11-04","2013-11-04",5.0,41.0,"S2014AZ019001",
"54475104-c78c-4e38-a694-841cc5a44f65","D14","SRER","MEGAPT100995","D14_SRER_PIT1","D14_SRER_PIT1_A","A","2013-11-04","2013-11-04",0.0,5.0,"S2014AZ019001",
"dfce893c-0c4c-46de-91e0-e379e402d511","D14","SRER","MEGAPT100995","D14_SRER_PIT1","D14_SRER_PIT1_2BK","2Bk","2013-11-04","2013-11-04",132.0,203.0,"S2014AZ019001",
"23aeee43-38c5-46cb-b574-77a659d6f628","D14","SRER","MEGAPT100995","D14_SRER_PIT1","D14_SRER_PIT1_BK1","Bk1","2013-11-04","2013-11-04",41.0,79.0,"S2014AZ019001",
