uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"5f74b3e6-5a42-4ca1-9865-5ab559966ad8","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS2","BS2","2013-09-09","2013-09-09",31.0,48.0,"2013MI053001",
"7f4c9ed3-e630-4da8-b33e-52ae6e5a219b","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2C1","2C1","2013-09-09","2013-09-09",114.0,147.0,"2013MI053001",
"90978e92-f87d-4c70-9ae7-601419f29109","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E","E","2013-09-09","2013-09-09",15.0,23.0,"2013MI053001",
"fcc823f0-de8a-42d4-acf2-62eb93d8c11c","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT2","2Bt2","2013-09-09","2013-09-09",83.0,114.0,"2013MI053001",
"57c1fc0b-a412-4608-90f3-6c0ee58f54f6","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_E/BX","E/Bx","2013-09-09","2013-09-09",48.0,57.0,"2013MI053001",
"73d7085e-3232-4e6d-a3bf-c80d71f64fe2","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_2BT1","2Bt1","2013-09-09","2013-09-09",57.0,83.0,"2013MI053001",
"bf3fdf7c-4726-43e8-af64-d6acb624678e","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_3C2","3C2","2013-09-09","2013-09-09",147.0,235.0,"2013MI053001",
"839f5bc9-183d-436e-887e-3678ac6cd117","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS1","BS1","2013-09-09","2013-09-09",23.0,31.0,"2013MI053001",
"2d3be548-fd47-47d1-a2f0-f045376e5db1","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_A","A","2013-09-09","2013-09-09",0.0,8.0,"2013MI053001",
"b946ba0a-53e0-4301-8846-0502855d49f5","D05","UNDE","MEGAPT101001","5_UNDERC_PIT1","5_UNDERC_PIT1_BS","Bs","2013-09-09","2013-09-09",8.0,15.0,"2013MI053001",
