uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"d1421a5a-9342-423a-be86-b04fb52098ca","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_C2","C2","2014-01-13","2014-01-13","D08_TALLADEGA_PIT1_ARCHIVE_130-200_C2","NEON",130.0,200.0,,3600.7
"c9b8f145-f99f-47f3-a6e3-af12b6e5901f","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_BC","Bc","2014-01-13","2014-01-13","D08_TALLADEGA_PIT1_ARCHIVE_75-93_BC","NEON",75.0,93.0,,3600.6
"4202b72d-d300-4f0d-b045-42e8217621ef","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_C1","C1","2014-01-13","2014-01-13","D08_TALLADEGA_PIT1_ARCHIVE_93-130_C1","NEON",93.0,130.0,,3600.1
"725efb54-a5af-43bd-9e46-357ae35b3a2c","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_A1","A1","2014-01-13","2014-01-13","D08_TALLADEGA_PIT1_ARCHIVE_0-10CM_A1","NEON",0.0,10.0,,3600.3
"77413016-5509-484f-99c3-55b4dab5604e","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_BT","Bt","2014-01-13","2014-01-13","D08_TALLADEGA_PIT1_ARCHIVE_37-75_BT","NEON",37.0,75.0,,3600.0
"8b59c1bc-5e4a-41d9-be88-99c072721f84","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_BE","BE","2014-01-13","2014-01-13","D08_TALLADEGA_PIT1_ARCHIVE_25-37_BE","NEON",25.0,37.0,,3601.6
"997871e5-91a0-49e9-9604-9d8de695ac53","D08","TALL","MEGAPT100998","D08_TALLADEGA_PIT1","D08_TALLADEGA_PIT1_A2","A2","2014-01-13","2014-01-13","D08_TALLADEGA_PIT1_ARCHIVE_10-25CM_A2","NEON",10.0,25.0,,3601.0
