uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"751cc34e-f262-4674-bdcc-510d9f52899f","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'2","E'2","2013-02-04","2013-02-04",99.0,134.0,"13FL097001",
"f50b8a6f-45bf-4091-99c3-8a27554628eb","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_BH1","Bh1","2013-02-04","2013-02-04",43.0,55.0,"13FL097001",
"20834ab1-ab78-414e-bc12-295f1a652a2b","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'3","E'3","2013-02-04","2013-02-04",134.0,152.0,"13FL097001",
"343e5d87-b445-4246-8e7d-76ff38af508e","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_B'H","B'h","2013-02-04","2013-02-04",152.0,204.0,"13FL097001",
"8f16f856-7c8f-4d5f-8ea3-8efd72da8873","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_BH2","Bh2","2013-02-04","2013-02-04",55.0,69.0,"13FL097001",
"81480c08-5ec2-4540-94ba-f48595fb5f54","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E'1","E'1","2013-02-04","2013-02-04",69.0,99.0,"13FL097001",
"e28914bf-316a-4fdd-82cd-f7bc6795ac64","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_AE","AE","2013-02-04","2013-02-04",9.0,26.0,"13FL097001",
"0561c72e-b140-4537-8309-06e0a549824d","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_AP","Ap","2013-02-04","2013-02-04",0.0,9.0,"13FL097001",
"ed64388a-340f-4c53-8da1-54a2ef6cd7af","D03","DSNY","MEGAPT100970","3_DISNEY_PIT1","3_DISNEY_PIT1_E","E","2013-02-04","2013-02-04",26.0,43.0,"13FL097001",
