uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"23ac61b0-8334-4ad6-8663-ee631b33c8b9","D10","STER","MEGAPT100997","10_STERLING_PIT1","10_STERLING_PIT1_C2","10_STERLING_PIT1_185-191_BULKD_C2","C2","2013-04-08","2013-04-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO077",188.0,185.0,191.0,1.0,"Regular",1.1788,
"88625870-df63-4001-8cd9-67365bad9ad7","D10","STER","MEGAPT100997","10_STERLING_PIT1","10_STERLING_PIT1_AP2","10_STERLING_PIT1_12-22_BULKD_AP2","Ap2","2013-04-08","2013-04-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO077",17.0,12.0,22.0,1.0,"Regular",1.2906,
"1acc93a0-2e58-4d91-921b-30dca96251c6","D10","STER","MEGAPT100997","10_STERLING_PIT1","10_STERLING_PIT1_C1","10_STERLING_PIT1_121-131_BULKD_C1","C1","2013-04-08","2013-04-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO077",126.0,121.0,131.0,1.0,"Regular",1.3350,
"80469093-f54a-4f00-b2c7-d4c960d582ff","D10","STER","MEGAPT100997","10_STERLING_PIT1","10_STERLING_PIT1_AP1","10_STERLING_PIT1_0-10_BULKD_AP1","Ap1","2013-04-08","2013-04-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO077",5.0,0.0,10.0,1.0,"Regular",1.0581,
"2c832c05-97a3-48b0-b6ef-f13ea6dae2bc","D10","STER","MEGAPT100997","10_STERLING_PIT1","10_STERLING_PIT1_BTK","10_STERLING_PIT1_105-115_BULKD_BTK","Btk","2013-04-08","2013-04-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO077",110.0,105.0,115.0,1.0,"Regular",1.0885,
"e88e1d5f-d31c-4edf-95a2-2079039104dd","D10","STER","MEGAPT100997","10_STERLING_PIT1","10_STERLING_PIT1_BT","10_STERLING_PIT1_56-66_BULKD_BT","Bt","2013-04-08","2013-04-08","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO077",61.0,56.0,66.0,1.0,"Regular",0.9677,
