uid,domainID,siteID,pitNamedLocation,pitID,horizonID,bulkDensID,horizonName,setDate,collectDate,laboratoryName,labProjID,bulkDensCenterDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensHorizonProportion,bulkDensSampleType,bulkDensExclCoarseFrag,remarks
"9ca266d7-dce6-4f32-98ba-ee43f9ab6fa5","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_A","10_CASTNET_PIT1_0-10_BULKD_A","A","2013-05-31","2013-05-31","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",5.0,0.0,10.0,1.0,"Regular",0.4669,
"cbf14f1b-f84a-4f51-b80c-7863567cb0b7","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_R",,"R","2013-05-31","2013-05-31","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE",,,,,,,,
"2c43ead9-78fd-44b0-9277-f9284b59ccf2","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C/B","10_CASTNET_PIT1_56-66_BULKD_C/B_C MATERIAL","C/B","2013-05-31","2013-05-31","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",61.0,56.0,66.0,0.6,"Regular",1.1387,"C/B horizon comprised of ~60% C material and ~40% B material"
"4931483e-792b-4042-a17f-d40acba062cb","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C/B","10_CASTNET_PIT1_56-66_BULKD_C/B_B MATERIAL","C/B","2013-05-31","2013-05-31","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",61.0,56.0,66.0,0.4,"Regular",1.3126,"C/B horizon comprised of ~60% C material and ~40% B material"
"d7b25ff9-8aee-450f-8021-69758324c34d","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C","10_CASTNET_PIT1_90-100_BULKD_C","C","2013-05-31","2013-05-31","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",95.0,90.0,100.0,1.0,"Regular",1.7201,
"839906dd-68bd-4c05-aa6d-806e6f3a5400","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_CR","10_CASTNET_PIT1_130-133_BULKD_CR","Cr","2013-05-31","2013-05-31","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",134.5,130.0,133.0,1.0,"Regular",1.9342,"4 x 3 cm long cores"
"bc1326e3-d93a-433e-abd9-e347d35b99ac","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_AB","10_CASTNET_PIT1_13-23_BULKD_AB","AB","2013-05-31","2013-05-31","USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",18.0,13.0,23.0,1.0,"Regular",1.0953,
