uid,domainID,siteID,pitNamedLocation,pitID,horizonID,biogeoID,horizonName,biogeoHorizonProportion,biogeoSampleType,setDate,collectDate,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,carbonateClay,clayFineContent,siltFineContent,siltCoarseContent,sandVeryFineContent,sandFineContent,sandMediumContent,sandCoarseContent,sandVeryCoarseContent,carbonTot,nitrogenTot,sulfurTot,estimatedOC,airDryOvenDry,alMjelm,caMjelm,feMjelm,kMjelm,mgMjelm,mnMjelm,naMjelm,pMjelm,siMjelm,srMjelm,tiMjelm,zrMjelm,phCacl2,phH2o,ec12pre,gypsumConc,caco3Conc,caNh4d,kNh4d,mgNh4d,naNh4d,cecdNh4,alSatCecd33,baseSumCecd10,bsesatCecd10,ececCecd33,alKcl,feKcl,mnKcl,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,resist,so4Satx,laboratoryName,labProjID,biogeoTopDepth,biogeoBottomDepth,biogeoCenterDepth,remarks
"497360b5-f2a5-4ddf-a3c3-39a6b11f808b","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_R",,"R",,,"2013-05-31","2013-05-31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE",,,,,
"143415b3-8f8c-453b-8932-05627b1e1d4b","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C/B","10_CASTNET_PIT1_33-84_BIOGEO_C/B_B MATERIAL","C/B",0.4,"Regular","2013-05-31","2013-05-31",181,81,78.1,15.5,6.4,,,7.2,8.3,3.2,6.9,15.7,31.4,20.9,8.3,0.60,0.10,8.0,1.007,62786,3343,11499,41622,2031,171,14278,468,326687,96,1726,85,5.0,6.0,0.05,,,3.4,0.1,0.9,0.0,5.3,2,4.4,83,4.5,0.1,,0.5,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",33.0,84.0,58.5,"C/B horizon comprized of ~60% C material and ~40% B material"
"801555de-69ad-4a13-8e52-665e43459755","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_AB","10_CASTNET_PIT1_10-33_BIOGEO_AB","AB",1.0,"Regular","2013-05-31","2013-05-31",206,66,74.4,17.1,8.5,,,8.5,8.6,3.7,6.6,17.0,24.0,23.1,29.0,1.70,0.20,29.0,1.013,61224,3951,12324,40285,2263,280,13597,493,315817,98,1838,89,5.1,6.1,0.09,,,8.3,0.3,1.8,0.0,12.5,,10.4,83,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",10.0,33.0,21.5,
"9be577cf-85ca-4507-9c46-a4d197125198","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C/B","10_CASTNET_PIT1_33-84_BIOGEO_C/B_C MATERIAL","C/B",0.6,"Regular","2013-05-31","2013-05-31",319,61,90.7,6.6,2.7,,,2.3,4.3,1.5,3.7,12.6,39.3,33.6,2.3,0.20,0.10,2.0,1.004,58571,2589,9520,43239,1360,145,13912,361,318803,84,1244,70,5.0,5.9,0.03,,,1.2,0.1,0.5,0.0,2.4,5,1.8,75,1.9,0.1,,0.2,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",33.0,84.0,58.5,"C/B horizon comprized of ~60% C material and ~40% B material"
"243a336b-3aeb-41a7-a12b-389d8ab13ebb","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C","10_CASTNET_PIT1_84-123_BIOGEO_C","C",1.0,"Regular","2013-05-31","2013-05-31",176,82,84.6,11.3,4.1,,,3.5,7.8,2.8,6.4,15.5,35.5,24.4,1.9,0.30,0.10,2.0,1.005,61939,2960,13108,40981,1941,128,14364,404,312779,90,1680,84,4.9,6.0,0.03,,,1.8,0.1,0.7,0.0,3.1,7,2.6,84,2.8,0.2,,0.5,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",84.0,123.0,103.5,
"885a70f4-9f4d-4e22-b9ab-54ee83a3c679","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_CR","10_CASTNET_PIT1_123-198_BIOGEO_CR","Cr",1.0,"Regular","2013-05-31","2013-05-31",170,81,72.3,21.5,6.2,,,10.8,10.7,5.8,11.0,18.1,23.5,13.9,1.2,0.20,0.10,1.0,1.005,71794,3137,12602,42874,1735,279,18930,527,312414,95,2764,124,6.4,6.4,0.03,,,1.8,0.1,0.8,0.0,2.7,,2.7,100,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",123.0,160.0,141.5,
"2202ce94-746d-4ee2-8a33-ac8d155cd447","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_A","10_CASTNET_PIT1_0-10_BIOGEO_A","A",1.0,"Regular","2013-05-31","2013-05-31",83,44,67.6,20.5,11.9,,,11.6,8.9,3.9,7.9,16.7,26.6,12.5,191.5,9.50,1.10,192.0,1.035,55711,7487,13234,31448,3015,455,11698,668,259164,107,2033,94,5.1,6.0,0.23,,,20.6,0.9,4.0,0.0,31.9,,25.5,80,,,,,,,,,,,,,,,,,,,,,,,"USDA NRCS Kellogg Soil Survey Laboratory - Lincoln - NE","I2013USCO091",0.0,10.0,5.0,
