uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,archiveID,archiveLaboratoryName,archiveTopDepth,archiveBottomDepth,remarks,sampleMass
"c64f7962-6e92-4c8c-aa56-039ad8ade8ad","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C/B","C/B","2013-05-31","2013-05-31","10_CASTNET_PIT1_33-84_ARCHIVE_C/B_C MATERIAL","NEON",33.0,84.0,,1201.3
"75640e11-3d54-49e4-81b5-976f39d3652d","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_R","R","2013-05-31","2013-05-31","10_CASTNET_PIT1_198-202_ARCHIVE_R","NEON",198.0,202.0,,1072.9
"90243587-5f24-406c-a1ae-b2ddb0c6eabd","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C/B","C/B","2013-05-31","2013-05-31","10_CASTNET_PIT1_33-84_ARCHIVE_C/B_B MATERIAL","NEON",33.0,84.0,,1200.6
"165287d6-3871-422b-8684-ad1d967b81b6","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_AB","AB","2013-05-31","2013-05-31","10_CASTNET_PIT1_10-33_ARCHIVE_AB","NEON",10.0,33.0,,1200.8
"e297838c-9870-4f74-b341-9f33e68a1fc9","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_CR","Cr","2013-05-31","2013-05-31","10_CASTNET_PIT1_123-198_ARCHIVE_CR","NEON",123.0,160.0,,2402.0
"5a479eef-63ee-4784-b53c-905ad048b011","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C","C","2013-05-31","2013-05-31","10_CASTNET_PIT1_84-123_ARCHIVE_C","NEON",84.0,123.0,,1200.5
"e87df461-cce1-46a0-8d4b-c9f8c729ece1","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_A","A","2013-05-31","2013-05-31","10_CASTNET_PIT1_0-10_ARCHIVE_A","NEON",0.0,10.0,,1200.9
