uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"15156e64-8631-466b-9f77-b8b470979547","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_R","R","2013-05-31","2013-05-31",198.0,200.0,"2013CO069001",
"2bd9df96-be44-474d-a368-87da62fe2d0a","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_AB","AB","2013-05-31","2013-05-31",10.0,33.0,"2013CO069001",
"7397f48c-641b-4b10-9d9f-9c8574438306","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C","C","2013-05-31","2013-05-31",84.0,123.0,"2013CO069001",
"43cef3f1-1807-428a-ab08-5d243d7a436e","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_C/B","C/B","2013-05-31","2013-05-31",33.0,84.0,"2013CO069001",
"a5459f86-ba89-470d-abeb-59c167584a80","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_CR","Cr","2013-05-31","2013-05-31",123.0,198.0,"2013CO069001",
"95dc3fcb-19a1-4e58-b74f-e263f8679537","D10","RMNP","MEGAPT100990","10_CASTNET_PIT1","10_CASTNET_PIT1_A","A","2013-05-31","2013-05-31",0.0,10.0,"2013CO069001",
