uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"b974ec25-37a9-48ef-b32f-6684bed0d180","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1","8_DEADLAKE_PIT1_A2","A2","2013-04-29","2013-04-29",15.0,27.0,"S2013AL063001",
"b89a8114-d8a4-408a-956d-bf046807d06a","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1","8_DEADLAKE_PIT1_BT1","Bt1","2013-04-29","2013-04-29",27.0,58.0,"S2013AL063001",
"2cb5db1e-00fb-4669-a233-887c76e2a03d","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1","8_DEADLAKE_PIT1_OI","Oi","2013-04-29","2013-04-29",0.0,2.0,"S2013AL063001",
"aafe01cd-7d8f-4e6a-bd14-e831c7770621","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1","8_DEADLAKE_PIT1_BT2","Bt2","2013-04-29","2013-04-29",58.0,79.0,"S2013AL063001",
"68d9cc32-96ec-4cac-a2d6-5b1bd200086f","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1","8_DEADLAKE_PIT1_BT3","Bt3","2013-04-29","2013-04-29",79.0,150.0,"S2013AL063001",
"1e8f2ad0-11e2-449e-8ab1-f397e30c1afc","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1","8_DEADLAKE_PIT1_A1","A1","2013-04-29","2013-04-29",2.0,15.0,"S2013AL063001",
"7cf0832f-1571-4660-98d8-ee407f4a8fca","D08","DELA","MEGAPT100969","8_DEADLAKE_PIT1","8_DEADLAKE_PIT1_BT4","Bt4","2013-04-29","2013-04-29",150.0,200.0,"S2013AL063001",
