uid,domainID,siteID,pitNamedLocation,pitID,horizonID,horizonName,setDate,collectDate,horizonTopDepth,horizonBottomDepth,nrcsDescriptionID,remarks
"272167e0-7c0e-4b57-a1b4-88c46bcddf2f","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT1","Bt1","2012-12-10","2012-12-10",68.0,105.0,"S2012GA007001",
"6197521c-0edb-47ed-823c-541bf3ff8d5c","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT3","Bt3","2012-12-10","2012-12-10",185.0,203.0,"S2012GA007001",
"5b8874f7-32df-437f-bced-46787f498409","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_BT2","Bt2","2012-12-10","2012-12-10",105.0,185.0,"S2012GA007001",
"a6666f8d-ae14-43f7-b4c9-10de8c44f0cb","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_A","A","2012-12-10","2012-12-10",0.0,8.0,"S2012GA007001",
"4223ddaa-a4ba-4124-8c33-6957bee29db3","D03","JERC","MEGAPT100975","3_JONES_PIT1","3_JONES_PIT1_E","E","2012-12-10","2012-12-10",8.0,68.0,"S2012GA007001",
